Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Epithelial Mesenchymal Transition,0.3994797179064198,1.800557101864081,0.0,0.0012282255683495717,0.008,94/200,25.92%,MFAP5;TNFRSF11B;POSTN;ITGA2;SLIT2;VCAN;COL5A2;FBLN2;TNC;TPM1;NT5E;GREM1;RGS4;LRRC15;FAP;IL15;FZD8;NNMT;PRRX1;COL12A1;GLIPR1;ADAM12;COL11A1;LOXL2;MMP3;NTM;WIPF1;ECM1;DAB2;SPOCK1;FBN1;MGP;MYLK;TIMP3;SPP1;EDIL3;COL3A1;PMEPA1;COL4A1;LOX;GADD45A;ITGB1;FBN2;INHBA;ACTA2;FAS;TGFBI;GEM;CD44;SCG2;THBS1;SNAI2;LUM;SNTB1;FSTL1;COL4A2;DST;THBS2;VCAM1;CALD1;COL5A3;MMP1;BDNF;COL1A2;SPARC;SGCD;DKK1;CCN2;TAGLN;PCOLCE2;COL5A1;VEGFA;PPIB;COPA;CCN1;CAP2;MYL9;CDH6;CXCL6;FOXC2;ITGA5;COL8A2;IL6;CDH2;P3H1;SFRP4;COL1A1;CADM1;ELN;COL6A3;GAS1;TNFAIP3;RHOB;MMP2
prerank,IL-6/JAK/STAT3 Signaling,0.4280652631794004,1.7279938437146871,0.0,0.002047042613915953,0.016,27/87,13.62%,CD36;IL18R1;A2M;EBI3;PDGFC;OSMR;LEPR;ITGA4;CSF2RA;IL6ST;IL7;IL1B;CD38;ACVRL1;CSF2;CXCL9;STAM2;CSF2RB;PTPN11;FAS;CD44;IL2RA;TLR2;MAP3K8;CCR1;IL1R2;REG1A
prerank,UV Response Dn,0.39846037076965746,1.7103062209031528,0.0,0.00208359694630731,0.018,48/144,21.03%,INPP4B;AMPH;PDLIM5;TGFBR2;KCNMA1;GCNT1;ANXA2;MMP16;COL5A2;HAS2;RUNX1;RGS4;APBB2;MAPK14;MAP2K5;RASA2;COL11A1;TFPI;ADORA2B;DAB2;MGLL;DLC1;PTEN;ARHGEF9;TJP1;COL3A1;NEK7;SLC7A1;PTPRM;SNAI2;DDAH1;CELF2;F3;PHF3;DYRK1A;PLPP3;BDNF;NIPBL;COL1A2;PRKAR2B;GRK5;SYNE1;TENT4A;ATP2B4;SCHIP1;CCN1;CAP2;RBPMS
prerank,Mitotic Spindle,-0.3446200741300261,-1.6924036895333259,0.0,0.0040386148259675845,0.018,69/199,18.42%,ARHGAP4;ESPL1;UXT;TPX2;HDAC6;MAP3K11;CKAP5;PIF1;SAC3D1;ARF6;KIF3B;KIF15;PLK1;TTK;CLIP2;TOP2A;RHOT2;TUBD1;CNTROB;NUMA1;MAPRE1;MAP1S;ARHGEF3;MID1IP1;KPTN;NCK1;ARFIP2;TUBGCP2;MARK4;CENPF;KIF2C;KIF3C;AURKA;BUB1;KATNA1;INCENP;PRC1;FSCN1;KIF22;SMC4;WASF2;KIF11;BIRC5;EPB41;ANLN;FARP1;CENPE;CDC42EP4;GEMIN4;CYTH2;CEP131;ATG4B;KATNB1;BCAR1;LLGL1;RACGAP1;CEP250;STAU1;CDC42EP2;ALMS1;RHOF;NEK2;MYO9B;RAPGEF5;GSN;RAPGEF6;FLNB;PPP4R2;ARAP3
prerank,Glycolysis,-0.3401739683901955,-1.6500564471762695,0.0,0.0053936763794172355,0.028,62/198,16.77%,TKTL1;XYLT2;STMN1;PGLS;NDST3;ALDH7A1;EXT2;CAPN5;B3GALT6;KIF20A;FUT8;GALE;BIK;ALDOA;IDH1;B4GALT4;PGAM2;TALDO1;PSMC4;QSOX1;FAM162A;PLOD1;AURKA;CASP6;MED24;B4GALT7;PC;B3GAT1;LHPP;GYS1;CLDN3;SRD5A3;TXN;FKBP4;IGFBP3;ENO2;G6PD;CACNA1H;SDHC;GOT2;PYGB;B3GAT3;CHST12;GUSB;B4GALT2;BPNT1;ELF3;POLR3K;DCN;SOD1;P4HA2;GPC1;MPI;SPAG4;MDH2;PPIA;TPST1;ENO1;DPYSL4;GALK1;LDHC;RPE
prerank,Angiogenesis,0.4688458090709784,1.6064736617058033,0.012779552715654952,0.0074844995571302034,0.076,23/36,30.64%,POSTN;SLCO2A1;VCAN;COL5A2;THBD;OLR1;LPL;SPP1;COL3A1;S100A4;LUM;FSTL1;PDGFA;VEGFA;PTK2;CXCL6;NRP1;VAV2;TNFRSF21;ITGAV;STC1;KCNJ8;CCND2
prerank,Complement,0.3583087826828287,1.6052939583524939,0.0,0.006823475379719844,0.078,86/199,30.52%,CD36;DOCK9;F5;DUSP6;ADAM9;SCG3;CR1;BRPF3;JAK2;DUSP5;OLR1;CFH;ZEB1;KYNU;APOC1;MMP13;PDP1;GATA3;PCLO;DOCK10;CASP5;CASP3;CD55;CTSS;LYN;APOBEC3G;DGKH;IRF2;SERPINA1;CTSO;LCK;LAMP2;PIK3CG;CDH13;CASP10;C2;AKAP10;F3;DPP4;FCN1;LAP3;COL4A2;PLA2G7;PSMB9;VCPIP1;ITGAM;CTSH;USP16;C1QA;CCL5;PLA2G4A;DYRK2;NOTCH4;LCP2;PLEK;CR2;PRCP;GZMB;MT3;CASP7;CDA;PCSK9;MMP12;IL6;USP15;PIK3R5;CFB;CTSC;CDK5R1;TNFAIP3;GNAI3;C1QC;C1R;APOBEC3F;S100A9;USP14;CA2;USP8;PLG;CASP4;LIPA;CXCL1;GZMK;GZMA;CTSV;MMP14
prerank,IL-2/STAT5 Signaling,0.354680152941744,1.6002970213180765,0.0,0.006678476527900797,0.085,55/199,14.20%,IL18R1;PRKCH;LRRC8C;IRF4;SPRY4;NT5E;MYO1E;TNFSF11;IKZF2;F2RL2;IL1RL1;ETV4;SELP;PLPP1;PHLDA1;LRIG1;PLAGL1;CAPN3;BMP2;ECM1;ABCB1;CSF2;EOMES;GPR65;ADAM19;CASP3;SNX14;ICOS;EMP1;SPP1;SLC2A3;BATF3;IL10;IL10RA;CDC42SE2;SOCS2;TNFRSF9;CD44;PTCH1;ITIH5;IL2RA;CD83;P2RX4;CTLA4;XBP1;MAP3K8;SWAP70;IRF8;SMPDL3A;CST7;IL1R2;SNX9;CCR4;SLC39A8;CD48
prerank,Interferon Alpha Response,0.3830208486091079,1.577368164462857,0.004846526655896607,0.007746195345841049,0.107,47/97,32.67%,LPAR6;TRIM26;IL15;TMEM140;DDX60;IL7;GBP2;BATF2;EPSTI1;ISG20;SAMD9L;IRF2;PARP12;IFI44;TAP1;LAP3;SP110;PSMB9;IFIT2;TRIM14;RNF31;SELL;OAS1;SAMD9;TXNIP;B2M;PARP9;HERC6;IFI30;CMPK2;GBP4;PSMB8;IL4R;NUB1;TDRD7;HLA-C;MX1;CASP8;NMI;TRAFD1;TRIM5;OASL;IFIH1;LAMP3;PLSCR1;CXCL10;WARS1
prerank,Androgen Response,0.3761335737087681,1.531150307283897,0.0075075075075075074,0.012538136010235214,0.178,36/100,22.16%,INPP4B;GUCY1A1;PDLIM5;SLC26A2;ELL2;ABHD2;ELOVL5;SCD;ARID5B;PLPP1;DHCR24;CCND1;HERC3;ACSL3;RRP12;NKX3-1;SEC24D;SPCS3;PMEPA1;PTK2B;ANKH;MAF;PIAS1;TMPRSS2;IQGAP2;LMAN1;ACTN1;SORD;SLC38A2;STEAP4;ZBTB10;DNAJB9;ALDH1A3;B2M;RPS6KA3;CDK6
